total_frames;col_front;col_cross_far;col_cross_close;col_back;trf_go;trf_move;trf_slow_down
3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
4;0.000;0.000;0.000;0.000;0.000;0.000;0.000
1;0.000;0.000;0.000;0.000;3.000;0.000;0.000
1;0.000;0.000;0.000;0.000;0.000;0.000;0.000
7307;0.002;0.023;0.044;0.018;0.009;0.000;0.003
9232;0.014;0.010;0.036;0.027;0.011;0.000;0.005
7036;0.003;0.010;0.023;0.018;0.005;0.000;0.004
7993;0.006;0.006;0.029;0.029;0.003;0.000;0.003
5607;0.002;0.013;0.033;0.009;0.002;0.000;0.002
3913;0.000;0.005;0.041;0.005;0.006;0.000;0.004
15926;0.008;0.002;0.027;0.029;0.002;0.005;0.002
11205;0.007;0.009;0.027;0.039;0.010;0.000;0.002
11903;0.005;0.004;0.012;0.021;0.001;0.002;0.002
12982;0.007;0.005;0.016;0.023;0.006;0.011;0.003
15073;0.008;0.006;0.023;0.027;0.001;0.001;0.001
14781;0.004;0.002;0.032;0.011;0.000;0.229;0.001
13937;0.002;0.010;0.008;0.019;0.006;0.002;0.002
13697;0.008;0.002;0.011;0.005;0.002;0.014;0.001
657;0.000;0.000;0.000;0.030;0.000;0.000;0.008
