total_frames;col_front;col_cross_far;col_cross_close;col_back;trf_go;trf_move;trf_slow_down
8316;0.008;0.011;0.055;0.026;0.004;0;0.003
10494;0.017;0.007;0.04;0.036;0.005;0;0.003
6346;0.003;0.005;0.022;0.006;0.005;0;0.004
7014;0.004;0.004;0.031;0.016;0.003;0;0.002
4351;0;0.025;0.046;0.023;0.003;0;0.002
4829;0.001;0.011;0.033;0;0.02;0;0.002
13632;0.009;0.004;0.031;0.022;0.002;0;0.003
12284;0.013;0.006;0.024;0.029;0.006;0;0.002
7614;0.006;0.008;0.028;0.019;0.007;0;0.005
10626;0.008;0.006;0.041;0.061;0.007;0;0.004
10054;0.013;0.004;0.024;0.021;0.002;0;0.001
11225;0.005;0.011;0.071;0.061;0.016;0;0.003
17374;0.003;0.007;0.009;0.015;0.005;0.06;0.001
12797;0.011;0.003;0.006;0.003;0.003;0.063;0.002
11193;0.007;0.002;0.016;0.005;0.007;0.077;0.001
11282;0.007;0.009;0.034;0.025;0.002;0.049;0.002
14163;0.006;0.01;0.018;0.012;0.008;0.018;0.001
10870;0.02;0.004;0.009;0.011;0.007;0.033;0.001
19274;0.004;0.011;0.04;0.015;0.006;0.017;0.003
17868;0.004;0.008;0.046;0.014;0.006;0.004;0.003
20181;0.007;0.006;0.019;0.009;0.006;0.039;0.002
17475;0.03;0.004;0.022;0.087;0.009;0.104;0.004
18891;0.01;0.017;0.023;0.002;0.01;0.03;0.004
17485;0.002;0.008;0.022;0.006;0.005;0.01;0.002
18655;0.005;0.004;0.004;0.006;0.006;0.028;0.003
10278;0.008;0.003;0.004;0.003;0.007;0.001;0.003
11411;0.006;0.003;0.006;0.01;0.005;0.02;0.003
7842;0.004;0.008;0.004;0.001;0.006;0;0.004
8842;0.008;0;0.022;0.005;0.008;0.063;0.003
6872;0;0;0.009;0;0.02;0;0.002
11274;0.006;0.004;0.046;0.002;0.005;0.005;0.002
7653;0;0.008;0;0.003;0.008;0;0.002
12524;0.006;0.002;0.011;0.019;0.006;0;0.001
2612;0;0;0;0;0.013;0;0.004
4982;0.001;0.012;0.015;0;0;0;0.002
10446;0.008;0.012;0.015;0.014;0.003;0;0.001
