total_frames;col_front;col_cross_far;col_cross_close;col_back;trf_go;trf_move;trf_slow_down
9836;0.012;0.005;0.049;0.008;0.002;0.000;0.000
11178;0.031;0.005;0.055;0.018;0.008;0.000;0.000
10071;0.019;0.006;0.043;0.033;0.004;0.019;0.000
9548;0.008;0.006;0.033;0.021;0.004;0.009;0.000
6958;0.028;0.002;0.037;0.009;0.003;0.000;0.000
6417;0.002;0.003;0.050;0.002;0.002;0.000;0.000
4974;0.002;0.000;0.021;0.002;0.007;0.000;0.000
12707;0.043;0.002;0.071;0.051;0.003;0.023;0.002
11209;0.022;0.005;0.060;0.046;0.004;0.040;0.001
9468;0.004;0.004;0.041;0.026;0.009;0.003;0.002
16170;0.034;0.001;0.086;0.040;0.002;0.012;0.000
11489;0.014;0.008;0.068;0.040;0.004;0.049;0.000
27042;0.009;0.003;0.037;0.025;0.002;0.006;0.000
17245;0.006;0.002;0.011;0.009;0.004;0.042;0.000
13711;0.005;0.002;0.010;0.007;0.006;0.005;0.000
16148;0.004;0.002;0.013;0.014;0.005;0.001;0.000
19718;0.020;0.002;0.033;0.031;0.001;0.012;0.000
14574;0.006;0.004;0.009;0.013;0.007;0.037;0.000
27599;0.004;0.007;0.040;0.012;0.006;0.002;0.000
23399;0.002;0.007;0.025;0.015;0.008;0.005;0.000
20233;0.015;0.005;0.024;0.025;0.007;0.012;0.000
24195;0.005;0.009;0.019;0.005;0.005;0.002;0.000
32139;0.006;0.005;0.018;0.008;0.007;0.000;0.000
21398;0.007;0.002;0.011;0.010;0.008;0.002;0.000
14291;0.004;0.003;0.014;0.010;0.006;0.000;0.000
14034;0.008;0.002;0.009;0.013;0.008;0.000;0.000
10856;0.020;0.001;0.038;0.005;0.007;0.000;0.000
9265;0.004;0.003;0.007;0.001;0.009;0.000;0.000
11565;0.001;0.003;0.007;0.003;0.003;0.041;0.000
42121;0.000;0.003;0.002;0.015;0.002;0.001;0.000
18356;0.002;0.008;0.004;0.011;0.002;0.000;0.000
29042;0.011;0.011;0.020;0.014;0.008;0.000;0.000
31932;0.001;0.009;0.007;0.024;0.003;0.012;0.000
11540;0.001;0.014;0.006;0.012;0.001;0.000;0.000
23852;0.002;0.006;0.012;0.019;0.003;0.003;0.000
12876;0.004;0.004;0.025;0.010;0.004;0.000;0.002
34563;0.008;0.002;0.032;0.012;0.003;0.065;0.000
